iter	Passed	Remaining
559	36453	28642
560	36522	28579
561	36588	28515
562	36652	28449
563	36717	28384
564	36783	28319
565	36849	28255
566	36917	28192
567	36983	28128
568	37050	28064
569	37118	28001
570	37183	27936
571	37246	27869
572	37307	27801
573	37369	27734
574	37435	27669
575	37500	27604
576	37566	27540
577	37635	27477
578	37702	27414
579	37771	27351
580	37837	27287
581	37902	27222
582	37968	27157
583	38033	27092
584	38097	27026
585	38162	26960
586	38231	26898
587	38296	26833
588	38360	26767
589	38424	26701
590	38485	26634
591	38550	26568
592	38612	26501
593	38701	26452
594	38782	26398
595	38849	26334
596	38916	26269
597	38992	26212
598	39062	26150
599	39126	26084
600	39192	26019
601	39258	25954
602	39330	25894
603	39400	25832
604	39466	25767
605	39532	25702
606	39594	25635
607	39656	25568
608	39721	25502
609	39784	25436
610	39847	25369
611	39909	25302
612	39973	25235
613	40035	25168
614	40098	25102
615	40160	25035
616	40224	24969
617	40289	24904
618	40353	24837
619	40418	24772
620	40482	24706
621	40548	24641
622	40611	24575
623	40674	24508
624	40740	24444
625	40804	24378
626	40865	24310
627	40929	24244
628	40996	24180
629	41060	24114
630	41124	24048
631	41187	23982
632	41248	23915
633	41311	23848
634	41375	23782
635	41436	23715
636	41500	23649
637	41562	23582
638	41626	23516
639	41688	23449
640	41752	23384
641	41816	23318
642	41877	23250
643	41944	23186
644	42007	23120
645	42072	23055
646	42133	22988
647	42197	22922
648	42259	22855
649	42325	22790
650	42388	22724
651	42451	22658
652	42516	22593
653	42581	22528
654	42649	22464
655	42715	22399
656	42778	22333
657	42840	22266
658	42905	22201
659	42971	22136
660	43035	22071
661	43100	22006
662	43162	21939
663	43225	21872
664	43287	21806
665	43349	21739
666	43418	21676
667	43482	21611
668	43544	21544
669	43607	21478
670	43672	21413
671	43733	21346
672	43797	21280
673	43856	21212
674	43917	21145
675	43980	21079
676	44044	21013
677	44110	20949
678	44171	20882
679	44234	20816
680	44295	20749
681	44358	20683
682	44419	20616
683	44479	20549
684	44543	20483
685	44606	20417
686	44668	20351
687	44728	20284
688	44792	20218
689	44855	20152
690	44916	20085
691	44977	20018
692	45040	19952
693	45104	19887
694	45169	19822
695	45231	19756
696	45295	19690
697	45356	19624
698	45420	19558
699	45481	19491
700	45543	19425
701	45605	19359
702	45671	19295
703	45740	19231
704	45803	19165
705	45869	19101
706	45934	19036
707	46003	18973
708	46071	18909
709	46134	18843
710	46198	18778
711	46261	18712
712	46331	18649
713	46400	18586
714	46462	18519
715	46525	18454
716	46586	18387
717	46653	18323
718	46722	18260
719	46784	18194
720	46849	18128
721	46913	18063
722	46975	17997
723	47038	17931
724	47119	17872
725	47224	17822
726	47297	17761
727	47363	17696
728	47426	17630
729	47490	17564
730	47551	17498
731	47615	17432
732	47677	17366
733	47742	17301
734	47804	17235
735	47867	17170
736	47930	17104
737	47992	17037
738	48056	16972
739	48125	16908
740	48192	16844
741	48262	16781
742	48328	16716
743	48390	16650
744	48452	16584
745	48514	16518
746	48575	16451
747	48639	16386
748	48704	16321
749	48768	16256
750	48833	16191
751	48899	16126
752	48965	16061
753	49029	15996
754	49104	15934
755	49177	15872
756	49246	15808
757	49340	15752
758	49422	15692
759	49493	15629
760	49564	15566
761	49635	15502
762	49702	15438
763	49774	15375
764	49844	15311
765	49913	15247
766	49984	15184
767	50068	15124
768	50153	15065
769	50234	15005
770	50305	14941
771	50369	14875
772	50438	14811
773	50507	14747
774	50573	14682
775	50642	14618
776	50708	14553
777	50774	14488
778	50841	14423
779	50905	14357
780	50972	14293
781	51040	14228
782	51104	14163
783	51169	14097
784	51236	14032
785	51303	13967
786	51367	13902
787	51431	13836
788	51496	13771
789	51569	13708
790	51635	13643
791	51702	13578
792	51767	13513
793	51833	13447
794	51901	13383
795	51967	13318
796	52029	13252
797	52095	13186
798	52157	13120
799	52220	13055
800	52282	12988
801	52345	12923
802	52433	12863
803	52506	12800
804	52573	12735
805	52644	12671
806	52712	12606
807	52776	12541
808	52843	12475
809	52908	12410
810	52973	12345
811	53040	12280
812	53109	12215
813	53174	12150
814	53241	12085
815	53308	12020
816	53374	11955
817	53442	11890
818	53507	11825
819	53575	11760
820	53639	11694
821	53704	11629
822	53769	11564
823	53833	11498
824	53896	11432
825	53960	11366
826	54025	11301
827	54086	11235
828	54151	11169
829	54220	11105
830	54286	11040
831	54348	10974
832	54413	10908
833	54476	10842
834	54536	10776
835	54599	10710
836	54665	10645
837	54729	10580
838	54789	10513
839	54853	10448
840	54915	10382
841	54978	10316
842	55040	10250
843	55104	10185
844	55176	10121
845	55243	10056
846	55311	9991
847	55380	9926
